Project_ID,Construction_status,Project_manager,Project_cost,Project_counties,Description,Description_short,Is_TIA_project,Project_URL
0013373,UNDER-CONSTRUCTION,Nakeeta Batson,21563337.94,Muscogee,"Bradley Park Dr at SR 22/US 80/JR Allen Pkwy,currently a cloverleaf interchange, this project proposes to change the intersection to a Diverging Diamond Interchange (DDI). The DDI will include 2 new signals on the E & W sides of the existing Bradley Park DR overpass bridge. The current bridge will be retained & modified to accommodate the DDI. A 5 ft wide sidewalk will be added on the outside except across the existing bridge at the DDI, where 8 feet sidewalk will be added in the median The existing cloverleaf ramps will be removed, leaving only the diamond ramps with the DDI. A 48-hr max temporary detour will be necessary for construction staging.",SR 22 - Interchange Const,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0013373
0013531,UNDER-CONSTRUCTION,Antoniette K Moseley,45053075.39,Henry,"It is proposed to widen SR 20 to a 4-lane (11 to 12 ft. lanes) facility with a 20 ft. raised median, with median breaks constructed at designated locations. The 4-lane section would end at Phillips Drive by creating a right-turn bay eastbound and adding a lane westbound. Proposed right turn and left turn lanes would be added as needed throughout the corridor. Bicycle and pedestrian improvements are also proposed, including a 5 ft. sidewalk on the south side of SR 20 and a multi-use path on the north side. A notable feature of the project is a proposed multi-lane roundabout at the existing SR 20 intersection with McDonough Parkway.",SR 20 - Widen & Recon,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0013531
0013568,PRE-CONSTRUCTION,Anthony T. Tate,67815000.0,"Butts , Lamar",,SR 36 From I-75/Butts To SR 18/Lamar; Inc New Loc,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0013568
0013600,COMPLETED-CONSTRUCTION,Chad White,3477608.4299999997,Meriwether,"The bridge on SR 109 over Norfolk Southern Railroad, Structure ID 199-0047-0, was built in 1937. The bridge consists of three spans of steel beams on concrete caps and concrete columns. The bridge was designed using an H-15 vehicle, which is below the current design standards. The overall condition of this bridge would be classified as fair. The deck is in fair condition. The deck has spalls with exposed rebar and transverse cracks that extend through the deck with efflorescence. The superstructure is in fair condition. The steel beams have varying section loss in all spans of the bridge. The substructure is in satisfactory condition. Due to the structural integrity of the bridge pertaining to the design vehicle, the deterioration of the deck, and the section loss in the beams, replacement of this bridge is recommended.",SR 109 - Construction Of A Bridge,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0013600
0013601,UNDER-CONSTRUCTION,Bryan Williams,7271354.64,Muscogee,"Project 0013601 is located approximately 10 miles North of the City of Columbus, Georgia in Muscogee County and will replace the SR 219 / River Rd bridge at Schley Creek. The Project begins approximately 1 mile North of SR 219 / Bigger Rd intersection and approximately 0.10 miles South of SR 219 / Schley Rd intersection for a total project length of 0.50 miles.",SR 219 (River RD) - Bridge Replt,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0013601
0013717,UNDER-CONSTRUCTION,Phillip Payne,15045347.44,Coweta,The project proposes to replace the bridge on SR 54 over Bear Creek in Coweta County built in 1947 due to being classified as functionally obsolete. The total length of the project is approximately 0.39 mile. The proposed bridge would replace the existing bridge over Bear Creek utilizing an off-site detour to maintain traffic during the anticipated 18 months of construction.,SR 54 - Construction Of A Bridge,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0013717
0013721,COMPLETED-CONSTRUCTION,Leo Perez,4411893.16,Coweta,"A second right lane on the 1-85 southbound exit ramp and signalize the dual right turn lanes from the I-85 southbound exit ramp onto SR 34. A right turn on red will be prohibited. Additionally, a lane will be constructed on westbound SR 34 in a section approximately 400ft east of the I-85 southbound exit ramp to approximately 400ft east of Millard Farmer Industrial Blvd in Coweta County. Proposed improvements includes reconstructing sidewalks.",I-85/SR 403 - Ops Improv,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0013721
0013726,UNDER-CONSTRUCTION,Randy Blair,22609474.409999996,Fayette,"The proposed project is a Displaced Left Turn (DLT) at the intersection of SR 54 and SR 74. The project will install a single displaced left turn lane from SR 74 southbound to SR 54 eastbound, and will provide dual displaced left turn lanes from SR 74 northbound to SR 54 westbound. The project will create an additional right turn from SR 74 southbound onto SR 54 westbound, and signalize the new dual right turn lanes. The right turn from SR 54 eastbound to SR 74 southbound will also be signalized.",SR 54 - Traffic Management,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0013726
0013734,UNDER-CONSTRUCTION,Scott Mann,7148483.24,Fayette,"The bridge on SR 85 over Whitewater Creek, Structure ID 113-0009-0, was built in 1950. This bridge consists of 3 spans of steel beams on concrete caps with concrete columns and was designed using an H-15 vehicle, which is below current design standards. A structural analysis shows that it has no reserve capacity in the superstructure. The bridge is classified as functionally obsolete. The deck is in satisfactory condition with minor cracking with efflorescence. The superstructure is in satisfactory condition with moderate section loss in the steel beams at the bearing areas, minor cracking in the concrete caps, columns and minor abrasion on the concrete columns at the waterline. Due to the age of the structure, integrity of the bridge pertaining to the design vehicle, and the functional obsolescence of the bridge, replacement of this bridge is recommended.",SR 85 - Construction Of A Bridge,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0013734
0013740,UNDER-CONSTRUCTION,Matthew Sanders,15247830.99,Carroll,This project will replace a bridge located on State Route 166 over Big Indian Creek in Carroll County.,SR 166 - Construction Of A Bridge,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0013740
0013928,UNDER-CONSTRUCTION,Recheal Mcmullin,11477898.0,Spalding,"The bridge on SR 16 over Flint River, Structure ID 255-0012-0, was built in 1960. This bridge consists of three (3) main spans of steel beams with five (5) approach spans of Reinforced Concrete Deck Girders (RCDG¿s). The main spans rest on concrete caps with concrete columns, while the approach spans are on concrete caps with steel piles. The bridge was designed using an HS-20 vehicle, which is below current design standards. The superstructure is in satisfactory condition with deflection cracking and spalls with exposed rebar in the RCDG¿s. The substructure is in satisfactory condition with corrosion with section loss on the steel piles at the waterline and moderate abrasion on the concrete columns. Due to the structural analysis of the structure, the structural integrity of the bridge pertaining to the design vehicle, and the unknown foundation of the substructure, replacement of this 57-year-old bridge is recommended.",SR 16 - Bridge Rehab,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0013928
