Project_ID,Project_counties,Is_TIA_project,Project_description,Last_refresh,Project_URL
0006038,Cherokee,No,CR 777/Arnold Mill RD From Park Ave To Hickory Flat Hwy,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006038
0006039,Cherokee,No,Bells Ferry RD From North Of Sixes RD To SR 20/Knox Hwy,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006039
0006937,Gwinnett,No,SR 316/US 29 From CR 186/Cedars RD To CR 238/Drowning Creek RD,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006937
0006042,Cherokee,No,Hickory Flat Road Ext From Marietta To Waleska St,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006042
0006047,Cobb,No,SR 3/US 41/Cobb Parkway @ Windy Hill Road,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006047
0006078,"Newton , Rockdale",No,Old Salem RD From Flat Shoals RD/Rockdale To SR 162/Newton,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006078
0006987,DeKalb,No,Chamblee Marta Station Improvements - LCI Project,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006987
0006988,DeKalb,No,Dunwoody Marta Station Improvements - LCI Project,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006988
0001815,Gwinnett,No,CR 494/Rock Bridge Road Grade Separation @ CSX Rr,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001815
0006317,Henry,No,CR 650/Hampton-Locust Grove RD @ Towaliga River,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006317
0002393,Gwinnett,No,SR 13 From Sugarloaf Pkwy To SR 20 In Buford,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0002393
0006697,Rockdale,No,Georgia Veterans Memorial Park In Rockdale,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006697
0002525,Cherokee,No,SR 372 Spur From SR 5Bu@ Howell Br RD To SR 372 So/Ball Ground,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0002525
0002862,"Cherokee , Forsyth",No,SR 20 From SR 369/Cherokee To Post Road/Forsyth,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0002862
0006811,DeKalb,No,Ashford Dunwoody Road Sidewalk & Bike Lane,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006811
0009831,Cobb,No,Joint Hero/State Patrol Facility,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0009831
0009836,Douglas,No,SR 5 @ Dorsett Shoals Road & @ Banks Mill Road/Pool Road,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0009836
0007846,Forsyth,No,CR 458/Mcfarland Road From SR 400 To SR 9/Atlanta Highway,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007846
0007848,Gwinnett,No,SR 20 From I-985/US 23 To SR 324/Gravel Springs RD,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007848
0008445,Forsyth,No,SR 400 From CR 458/Mcfarland To SR 20,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008445
